provinsi,prevalensi_stunting,tahun,garis_kemiskinan,jumlah_miskin_ribu,persen_miskin,persen_sanitasi
BALI,7.2,2023,529643,193.78,4.25,95.7
NUSA TENGGARA BARAT,24.6,2023,498996,751.23,13.85,85.11
NUSA TENGGARA TIMUR,37.9,2023,507203,1141.11,19.96,75.67
KALIMANTAN BARAT,24.5,2023,563288,353.35,6.71,79.89
KALIMANTAN TENGAH,23.5,2023,596184,142.17,5.11,76.31
KALIMANTAN SELATAN,24.7,2023,604266,188.93,4.29,82.89
KALIMANTAN TIMUR,22.9,2023,790186,231.07,6.11,91.21
KALIMANTAN UTARA,17.4,2023,817876,47.97,6.45,84.22
SULAWESI UTARA,21.3,2023,463432,189.0,7.38,85.91
SULAWESI TENGAH,27.2,2023,568248,395.66,12.41,75.8
SULAWESI SELATAN,27.4,2023,436025,788.85,8.7,93.69
SULAWESI TENGGARA,30.0,2023,443980,321.53,11.43,88.99
GORONTALO,26.9,2023,442194,183.71,15.15,81.72
SULAWESI BARAT,30.3,2023,433131,164.14,11.49,80.73
MALUKU,28.4,2023,684020,301.61,16.42,78.17
MALUKU UTARA,23.7,2023,564733,83.8,6.46,80.64
PAPUA BARAT,24.8,2023,728619,214.98,20.49,76.3
PAPUA,28.6,2023,686469,915.15,26.03,43.0
ACEH,28.6,2024,661227,804.53,14.23,81.1
SUMATERA UTARA,22.0,2024,642423,1228.01,7.99,85.73
SUMATERA BARAT,24.9,2024,708416,345.73,5.97,72.82
RIAU,20.1,2024,697296,492.25,6.67,86.32
JAMBI,17.1,2024,650115,265.42,7.1,83.97
SUMATERA SELATAN,15.8,2024,554197,984.24,10.97,82.36
BENGKULU,18.8,2024,671095,281.36,13.56,83.01
LAMPUNG,15.9,2024,586551,941.23,10.69,85.44
KEPULAUAN BANGKA BELITUNG,20.1,2024,908397,69.95,4.55,94.16
KEPULAUAN RIAU,15.0,2024,787211,138.3,5.37,91.23
DKI JAKARTA,17.2,2024,825288,464.93,4.3,94.01
JAWA BARAT,15.9,2024,524052,3848.67,7.46,75.1
JAWA TENGAH,17.0,2024,507001,3704.33,10.47,86.72
DI YOGYAKARTA,17.4,2024,602437,445.55,10.83,96.71
JAWA TIMUR,14.7,2024,536122,3982.69,9.79,85.56
BANTEN,21.1,2024,654213,791.61,5.84,87.93
BALI,8.6,2024,568510,184.43,4.0,96.83
NUSA TENGGARA BARAT,29.8,2024,534703,709.01,12.91,86.8
NUSA TENGGARA TIMUR,37.0,2024,527275,1127.57,19.48,77.66
KALIMANTAN BARAT,26.8,2024,595509,336.08,6.32,81.56
KALIMANTAN TENGAH,22.1,2024,623954,145.63,5.17,78.15
KALIMANTAN SELATAN,22.9,2024,632739,183.31,4.11,83.7
KALIMANTAN TIMUR,22.3,2024,833955,221.34,5.78,91.65
KALIMANTAN UTARA,17.6,2024,854294,47.83,6.32,85.17
SULAWESI UTARA,20.8,2024,490719,186.86,7.25,87.31
SULAWESI TENGAH,26.1,2024,600872,379.76,11.77,77.4
SULAWESI SELATAN,23.2,2024,459226,736.48,8.06,93.83
SULAWESI TENGGARA,26.1,2024,462715,319.71,11.21,90.62
GORONTALO,23.9,2024,473006,177.99,14.57,82.99
SULAWESI BARAT,35.4,2024,454879,162.19,11.21,82.52
MALUKU,28.3,2024,713503,297.68,16.05,80.51
MALUKU UTARA,23.2,2024,604460,83.09,6.32,82.32
PAPUA BARAT,24.7,2024,793804,110.16,21.66,79.0
PAPUA,24.7,2024,674371,152.91,17.26,80.57
